INFO  2015-04-29 18:38:48,073 [defaultLoger] adfasdf
INFO  2015-04-29 18:38:49,713 [defaultLoger] adfasdf
INFO  2015-04-29 18:39:40,447 [defaultLoger] adfasdf
INFO  2015-04-29 18:39:41,877 [defaultLoger] adfasdf
INFO  2015-04-29 18:41:01,430 [defaultLoger] adfasdf
INFO  2015-04-29 18:41:02,723 [defaultLoger] adfasdf
INFO  2015-04-29 18:42:37,515 [defaultLoger] adfasdf
INFO  2015-04-29 18:42:37,550 [defaultLoger] adfasdf
INFO  2015-04-29 18:42:49,126 [defaultLoger] adfasdf
INFO  2015-04-29 18:42:49,135 [defaultLoger] adfasdf
INFO  2015-04-29 18:43:00,860 [defaultLoger] adfasdf
INFO  2015-04-29 18:43:00,870 [defaultLoger] adfasdf
INFO  2015-04-29 18:45:13,582 [defaultLoger] adfasdf
INFO  2015-04-29 18:45:13,591 [defaultLoger] adfasdf
INFO  2015-04-29 18:45:22,072 [defaultLoger] adfasdf
INFO  2015-04-29 18:45:22,081 [defaultLoger] adfasdf
INFO  2015-04-29 19:40:34,466 [defaultLoger] adfasdf
INFO  2015-04-29 19:40:34,497 [defaultLoger] adfasdf
INFO  2015-04-29 19:50:15,647 [defaultLoger] adfasdf
INFO  2015-04-29 19:50:15,658 [defaultLoger] adfasdf
INFO  2015-04-29 19:51:18,272 [defaultLoger] adfasdf
INFO  2015-04-29 19:51:18,281 [defaultLoger] adfasdf
INFO  2015-04-29 19:52:42,826 [defaultLoger] adfasdf
INFO  2015-04-29 19:52:42,835 [defaultLoger] adfasdf
INFO  2015-04-29 19:52:43,303 [defaultLoger] adfasdf
INFO  2015-04-29 19:52:43,311 [defaultLoger] adfasdf
INFO  2015-04-29 19:52:43,539 [defaultLoger] adfasdf
INFO  2015-04-29 19:52:43,550 [defaultLoger] adfasdf
INFO  2015-04-29 19:52:56,782 [defaultLoger] adfasdf
INFO  2015-04-29 19:52:56,793 [defaultLoger] adfasdf
INFO  2015-04-29 19:55:46,588 [defaultLoger] adfasdf
INFO  2015-04-29 19:55:46,600 [defaultLoger] adfasdf
INFO  2015-04-29 19:59:07,281 [defaultLoger] adfasdf
INFO  2015-04-29 19:59:07,296 [defaultLoger] adfasdf
INFO  2015-04-29 20:09:38,361 [defaultLoger] adfasdf
INFO  2015-04-29 20:09:38,361 [defaultLoger] adfasdf
INFO  2015-04-29 20:23:39,282 [defaultLoger] adfasdf
INFO  2015-04-29 20:23:39,312 [defaultLoger] adfasdf
INFO  2015-04-29 20:24:09,859 [defaultLoger] adfasdf
INFO  2015-04-29 20:24:09,868 [defaultLoger] adfasdf
INFO  2015-04-29 20:25:45,567 [defaultLoger] adfasdf
INFO  2015-04-29 20:25:45,567 [defaultLoger] adfasdf
INFO  2015-04-29 20:27:30,691 [defaultLoger] adfasdf
INFO  2015-04-29 20:27:30,706 [defaultLoger] adfasdf
